court,date,filings,court_mean_daily,court_stdev,z_score
mowbk,2005-10-14,198,5.4,5.5,35.18
ksbk,2005-10-14,153,5.2,4.8,31.08
mowbk,2005-10-15,174,5.4,5.5,30.8
ksbk,2005-10-15,147,5.2,4.8,29.82
vaebk,2012-10-18,40,1.3,1.3,29.07
txnbk,2025-07-09,137,1.7,5.6,24.04
flsbk,2005-10-14,184,5.5,7.5,23.68
txsbk,2005-10-15,159,4.3,6.9,22.31
ksbk,2005-10-13,105,5.2,4.8,20.98
txsbk,2005-10-14,145,4.3,6.9,20.29
ohsbk,2025-08-05,19,1.2,0.9,19.71
mdbk,1996-12-27,18,1.2,0.9,19.04
mowbk,2005-10-12,103,5.4,5.5,17.83
kyebk,2009-09-09,17,1.3,0.9,17.6
txsbk,2004-11-01,126,4.3,6.9,17.55
ksbk,2005-10-12,86,5.2,4.8,16.99
alnbk,2025-09-18,11,1.2,0.6,15.23
txsbk,2005-01-03,109,4.3,6.9,15.1
almbk,2017-01-30,9,1.2,0.5,14.24
mdbk,2011-07-21,13,1.2,0.9,13.38
txsbk,2003-03-03,97,4.3,6.9,13.37
tnwbk,2005-10-15,14,1.4,1.0,13.27
txsbk,2005-10-16,93,4.3,6.9,12.79
mowbk,2005-10-13,73,5.4,5.5,12.34
ilnbk,1999-04-21,66,2.9,5.3,11.81
txsbk,2005-08-01,85,4.3,6.9,11.64
ksbk,2005-10-16,60,5.2,4.8,11.52
mabk,2005-10-12,40,2.1,3.3,11.46
txsbk,2003-06-02,83,4.3,6.9,11.35
innbk,2024-06-25,9,1.3,0.7,11.31
txsbk,2004-03-01,82,4.3,6.9,11.21
txsbk,2003-12-01,81,4.3,6.9,11.06
vaebk,2011-02-03,16,1.3,1.3,11.06
ncebk,2024-10-04,8,1.2,0.6,10.96
txsbk,2003-02-03,80,4.3,6.9,10.92
kyebk,2009-09-10,11,1.3,0.9,10.88
kyebk,2019-12-31,11,1.3,0.9,10.88
flsbk,2003-04-23,84,5.5,7.5,10.42
flmbk,2025-05-30,19,2.0,1.6,10.38
ilnbk,1998-09-16,58,2.9,5.3,10.31
gambk,2010-05-04,2,1.0,0.1,10.2
tnwbk,2003-08-13,11,1.4,1.0,10.12
flmbk,2025-08-29,18,2.0,1.6,9.77
flsbk,2010-06-21,79,5.5,7.5,9.75
mabk,2009-02-28,34,2.1,3.3,9.65
ilnbk,1999-04-28,53,2.9,5.3,9.38
nysbk,2016-06-30,17,1.3,1.7,9.27
nyebk,2005-10-13,24,2.5,2.3,9.21
flsbk,2005-10-13,74,5.5,7.5,9.09
alnbk,2020-10-29,7,1.2,0.6,9.0
ganbk,2024-05-07,11,1.5,1.1,8.95
miebk,2013-10-07,7,1.3,0.7,8.79
miebk,2024-08-02,7,1.3,0.7,8.79
almbk,2025-08-29,6,1.2,0.5,8.76
txsbk,2003-09-01,65,4.3,6.9,8.76
txsbk,2004-01-05,65,4.3,6.9,8.76
txsbk,2004-04-05,65,4.3,6.9,8.76
txsbk,2004-08-02,65,4.3,6.9,8.76
txsbk,2004-10-04,65,4.3,6.9,8.76
flsbk,2001-05-07,71,5.5,7.5,8.69
ilnbk,1999-04-14,49,2.9,5.3,8.63
txsbk,2003-08-01,64,4.3,6.9,8.61
txsbk,2004-07-01,64,4.3,6.9,8.61
txnbk,2025-07-10,50,1.7,5.6,8.58
ksbk,2005-10-11,46,5.2,4.8,8.58
caebk,2005-10-16,9,1.4,0.9,8.57
flsbk,2020-09-18,70,5.5,7.5,8.56
casbk,1996-10-15,2,1.0,0.1,8.49
txsbk,2002-08-02,63,4.3,6.9,8.47
ilnbk,1999-02-10,48,2.9,5.3,8.44
innbk,2025-03-31,7,1.3,0.7,8.37
txsbk,2004-12-06,62,4.3,6.9,8.32
ilnbk,1998-04-08,47,2.9,5.3,8.25
ilnbk,1998-09-09,47,2.9,5.3,8.25
ilnbk,1998-11-25,47,2.9,5.3,8.25
ilnbk,1999-05-27,47,2.9,5.3,8.25
scbk,2023-03-21,5,1.2,0.5,8.21
mowbk,2005-09-28,50,5.4,5.5,8.14
ilnbk,1999-03-24,46,2.9,5.3,8.07
txsbk,2004-02-02,60,4.3,6.9,8.04
tnwbk,2003-08-15,9,1.4,1.0,8.01
flmbk,2025-11-25,15,2.0,1.6,7.94
mowbk,2005-10-05,48,5.4,5.5,7.78
mowbk,2005-10-16,48,5.4,5.5,7.78
flsbk,2001-03-12,64,5.5,7.5,7.76
txsbk,2002-09-02,58,4.3,6.9,7.75
txsbk,2002-11-01,58,4.3,6.9,7.75
txsbk,2003-01-03,58,4.3,6.9,7.75
ncebk,2021-07-07,6,1.2,0.6,7.74
mdbk,2018-09-06,8,1.2,0.9,7.71
txnbk,2025-12-04,45,1.7,5.6,7.7
ilnbk,1998-08-12,44,2.9,5.3,7.69
ilnbk,1999-03-31,44,2.9,5.3,7.69
njbk,2025-07-31,9,1.6,1.0,7.6
txsbk,2001-04-02,57,4.3,6.9,7.6
txsbk,2002-12-02,57,4.3,6.9,7.6
txsbk,2005-10-01,57,4.3,6.9,7.6
wiebk,2003-05-01,11,1.7,1.2,7.56
arebk,2025-04-07,4,1.1,0.4,7.51
arebk,2026-02-11,4,1.1,0.4,7.51
ilnbk,1998-04-22,43,2.9,5.3,7.51
ilnbk,1999-05-05,43,2.9,5.3,7.51
flsbk,2001-11-19,62,5.5,7.5,7.5
flsbk,2002-06-10,62,5.5,7.5,7.5
moebk,2003-01-15,14,1.9,1.6,7.46
moebk,2005-10-13,14,1.9,1.6,7.46
flsbk,2001-04-30,61,5.5,7.5,7.36
flmbk,2025-05-29,14,2.0,1.6,7.33
flmbk,2025-09-30,14,2.0,1.6,7.33
ilnbk,1998-07-01,42,2.9,5.3,7.32
ilnbk,1999-12-23,42,2.9,5.3,7.32
txsbk,2004-02-01,55,4.3,6.9,7.31
wiwbk,2016-05-31,3,1.1,0.3,7.31
miebk,2019-03-20,6,1.3,0.7,7.25
flsbk,2001-04-23,60,5.5,7.5,7.23
txsbk,2002-07-01,54,4.3,6.9,7.17
txsbk,2005-10-13,54,4.3,6.9,7.17
ilnbk,1999-03-03,41,2.9,5.3,7.13
okwbk,1998-12-18,2,1.0,0.1,7.11
okwbk,2000-06-16,2,1.0,0.1,7.11
ksbk,2025-11-14,39,5.2,4.8,7.1
flsbk,2001-07-02,59,5.5,7.5,7.1
ganbk,2022-02-18,9,1.5,1.1,7.07
ganbk,2024-05-06,9,1.5,1.1,7.07
ganbk,2024-06-04,9,1.5,1.1,7.07
ganbk,2025-03-04,9,1.5,1.1,7.07
paebk,2024-05-02,7,1.4,0.8,7.01
ilsbk,2023-08-22,2,1.0,0.1,7.0
flsbk,2001-06-18,58,5.5,7.5,6.97
flsbk,2002-07-09,58,5.5,7.5,6.97
tnwbk,2003-07-17,8,1.4,1.0,6.96
ilnbk,1998-05-13,40,2.9,5.3,6.94
ilnbk,1998-06-03,40,2.9,5.3,6.94
ilnbk,1998-11-04,40,2.9,5.3,6.94
mabk,2005-10-14,25,2.1,3.3,6.92
ksbk,2005-10-06,38,5.2,4.8,6.89
txsbk,2004-05-03,52,4.3,6.9,6.88
flsbk,2001-04-09,57,5.5,7.5,6.83
flsbk,2003-04-04,57,5.5,7.5,6.83
flsbk,2003-05-02,57,5.5,7.5,6.83
flsbk,2024-10-31,57,5.5,7.5,6.83
ilnbk,1998-06-24,39,2.9,5.3,6.76
ilnbk,1999-03-10,39,2.9,5.3,6.76
txsbk,2004-08-01,51,4.3,6.9,6.74
txsbk,2005-03-01,51,4.3,6.9,6.74
txsbk,2005-04-01,51,4.3,6.9,6.74
mnbk,2012-02-08,4,1.2,0.4,6.73
arwbk,2002-11-12,4,1.1,0.4,6.72
arwbk,2003-02-25,4,1.1,0.4,6.72
arwbk,2003-08-09,4,1.1,0.4,6.72
flsbk,2001-03-19,56,5.5,7.5,6.7
flsbk,2001-11-05,56,5.5,7.5,6.7
ksbk,2005-09-14,37,5.2,4.8,6.68
nebk,1989-12-20,2,1.0,0.1,6.6
nebk,1990-01-16,2,1.0,0.1,6.6
njbk,2025-02-28,8,1.6,1.0,6.58
flsbk,2001-01-16,55,5.5,7.5,6.57
flsbk,2014-10-03,55,5.5,7.5,6.57
cacbk,2005-10-14,14,2.4,1.8,6.56
cacbk,2018-11-30,14,2.4,1.8,6.56
insbk,2018-12-11,6,1.4,0.7,6.52
insbk,2024-07-31,6,1.4,0.7,6.52
insbk,2025-02-28,6,1.4,0.7,6.52
mowbk,2005-09-21,41,5.4,5.5,6.5
txsbk,2000-10-02,49,4.3,6.9,6.45
txsbk,2005-06-06,49,4.3,6.9,6.45
txsbk,2006-10-02,49,4.3,6.9,6.45
flsbk,2001-05-21,54,5.5,7.5,6.44
flsbk,2001-10-29,54,5.5,7.5,6.44
flsbk,2002-10-15,54,5.5,7.5,6.44
ilnbk,1998-12-16,37,2.9,5.3,6.38
ohnbk,1990-03-15,13,2.0,1.7,6.32
mowbk,2005-10-10,40,5.4,5.5,6.32
flsbk,2001-07-30,53,5.5,7.5,6.3
flsbk,2001-10-09,53,5.5,7.5,6.3
wawbk,2010-12-30,2,1.0,0.2,6.25
ilnbk,1998-08-26,36,2.9,5.3,6.2
ilnbk,1999-01-20,36,2.9,5.3,6.2
flsbk,2001-09-17,52,5.5,7.5,6.17
flsbk,2002-03-08,52,5.5,7.5,6.17
miwbk,1993-10-15,2,1.0,0.2,6.17
ganbk,2023-12-29,8,1.5,1.1,6.13
ncebk,2019-08-01,5,1.2,0.6,6.12
ncebk,2024-09-20,5,1.2,0.6,6.12
ncebk,2025-05-05,5,1.2,0.6,6.12
ncebk,2026-01-16,5,1.2,0.6,6.12
ncmbk,2025-11-19,6,1.3,0.8,6.11
ncmbk,2025-11-26,6,1.3,0.8,6.11
ncmbk,2025-12-12,6,1.3,0.8,6.11
flmbk,2005-10-14,12,2.0,1.6,6.11
scbk,2019-03-18,4,1.2,0.5,6.07
scbk,2020-01-28,4,1.2,0.5,6.07
scbk,2025-07-15,4,1.2,0.5,6.07
flsbk,2001-01-22,51,5.5,7.5,6.04
flsbk,2001-01-29,51,5.5,7.5,6.04
flsbk,2001-08-20,51,5.5,7.5,6.04
flsbk,2001-11-13,51,5.5,7.5,6.04
flsbk,2002-10-29,51,5.5,7.5,6.04
flsbk,2003-02-14,51,5.5,7.5,6.04
flsbk,2003-03-28,51,5.5,7.5,6.04
txsbk,2000-09-01,46,4.3,6.9,6.02
txsbk,2002-05-03,46,4.3,6.9,6.02
mabk,2005-10-07,22,2.1,3.3,6.01
ilnbk,1998-01-28,35,2.9,5.3,6.01
ilnbk,1999-05-12,35,2.9,5.3,6.01
cacbk,2015-03-20,13,2.4,1.8,6.0
cacbk,2016-08-24,13,2.4,1.8,6.0
mowbk,2007-08-29,38,5.4,5.5,5.95
wiebk,2003-04-25,9,1.7,1.2,5.94
tnwbk,2003-07-01,7,1.4,1.0,5.91
tnwbk,2003-11-25,7,1.4,1.0,5.91
tnwbk,2003-12-02,7,1.4,1.0,5.91
tnwbk,2004-02-11,7,1.4,1.0,5.91
tnwbk,2004-11-20,7,1.4,1.0,5.91
flsbk,2001-04-02,50,5.5,7.5,5.91
flsbk,2001-05-14,50,5.5,7.5,5.91
flsbk,2001-10-01,50,5.5,7.5,5.91
flsbk,2001-10-22,50,5.5,7.5,5.91
flsbk,2001-12-10,50,5.5,7.5,5.91
flsbk,2003-02-10,50,5.5,7.5,5.91
wvnbk,2000-12-11,3,1.1,0.3,5.89
txsbk,2003-08-04,45,4.3,6.9,5.87
txsbk,2003-11-03,45,4.3,6.9,5.87
txsbk,2004-07-05,45,4.3,6.9,5.87
txsbk,2004-09-03,45,4.3,6.9,5.87
kywbk,2020-01-31,4,1.2,0.5,5.85
ksbk,2004-08-31,33,5.2,4.8,5.84
ksbk,2014-03-27,33,5.2,4.8,5.84
debk,2013-06-10,2,1.0,0.2,5.83
ilnbk,1998-07-15,34,2.9,5.3,5.82
ilnbk,1998-07-29,34,2.9,5.3,5.82
ilnbk,1998-11-12,34,2.9,5.3,5.82
flnbk,2003-11-20,3,1.1,0.3,5.81
flnbk,2019-01-22,3,1.1,0.3,5.81
flnbk,2019-03-01,3,1.1,0.3,5.81
flnbk,2019-11-01,3,1.1,0.3,5.81
flsbk,2001-08-13,49,5.5,7.5,5.77
flsbk,2002-04-15,49,5.5,7.5,5.77
flsbk,2003-01-21,49,5.5,7.5,5.77
flsbk,2024-11-15,49,5.5,7.5,5.77
paebk,2019-11-07,6,1.4,0.8,5.75
paebk,2023-11-11,6,1.4,0.8,5.75
paebk,2024-05-01,6,1.4,0.8,5.75
paebk,2024-12-06,6,1.4,0.8,5.75
paebk,2025-01-17,6,1.4,0.8,5.75
paebk,2025-06-02,6,1.4,0.8,5.75
paebk,2025-09-08,6,1.4,0.8,5.75
paebk,2026-01-21,6,1.4,0.8,5.75
txsbk,2002-04-01,44,4.3,6.9,5.73
txsbk,2003-05-02,44,4.3,6.9,5.73
txsbk,2005-10-03,44,4.3,6.9,5.73
miebk,2016-09-25,5,1.3,0.7,5.72
miebk,2017-03-31,5,1.3,0.7,5.72
miebk,2018-08-24,5,1.3,0.7,5.72
miebk,2019-07-12,5,1.3,0.7,5.72
miebk,2025-02-28,5,1.3,0.7,5.72
flsbk,2000-12-11,48,5.5,7.5,5.64
flsbk,2000-12-18,48,5.5,7.5,5.64
flsbk,2001-03-05,48,5.5,7.5,5.64
flsbk,2001-08-06,48,5.5,7.5,5.64
flsbk,2001-11-26,48,5.5,7.5,5.64
flsbk,2002-01-28,48,5.5,7.5,5.64
flsbk,2024-11-27,48,5.5,7.5,5.64
ilnbk,1998-05-20,33,2.9,5.3,5.63
ilnbk,1998-06-10,33,2.9,5.3,5.63
ilnbk,1998-10-07,33,2.9,5.3,5.63
ilnbk,1999-02-17,33,2.9,5.3,5.63
ilnbk,1999-03-17,33,2.9,5.3,5.63
ilnbk,1999-04-07,33,2.9,5.3,5.63
ilnbk,2000-02-17,33,2.9,5.3,5.63
moebk,2003-05-07,11,1.9,1.6,5.61
mowbk,2005-10-11,36,5.4,5.5,5.59
txsbk,2003-10-03,43,4.3,6.9,5.58
njbk,2025-12-09,7,1.6,1.0,5.55
flsbk,2001-06-25,47,5.5,7.5,5.51
flsbk,2002-11-08,47,5.5,7.5,5.51
flsbk,2003-03-18,47,5.5,7.5,5.51
flsbk,2024-10-25,47,5.5,7.5,5.51
flmbk,2010-02-08,11,2.0,1.6,5.5
flmbk,2025-06-20,11,2.0,1.6,5.5
flmbk,2025-06-30,11,2.0,1.6,5.5
flmbk,2025-10-30,11,2.0,1.6,5.5
flmbk,2026-01-30,11,2.0,1.6,5.5
ilnbk,1998-04-15,32,2.9,5.3,5.45
ilnbk,1998-07-08,32,2.9,5.3,5.45
ilnbk,1998-12-23,32,2.9,5.3,5.45
txsbk,2003-05-05,42,4.3,6.9,5.44
txsbk,2004-04-02,42,4.3,6.9,5.44
txsbk,2005-04-04,42,4.3,6.9,5.44
ctbk,1987-05-06,3,1.1,0.3,5.43
innbk,2024-05-31,5,1.3,0.7,5.43
ksbk,2005-09-28,31,5.2,4.8,5.42
mabk,2005-10-15,20,2.1,3.3,5.41
flsbk,2001-02-26,46,5.5,7.5,5.38
flsbk,2001-07-23,46,5.5,7.5,5.38
flsbk,2002-01-14,46,5.5,7.5,5.38
flsbk,2002-09-03,46,5.5,7.5,5.38
flsbk,2003-05-09,46,5.5,7.5,5.38
flsbk,2003-05-13,46,5.5,7.5,5.38
txsbk,2002-09-27,41,4.3,6.9,5.29
txsbk,2003-06-27,41,4.3,6.9,5.29
txsbk,2005-02-01,41,4.3,6.9,5.29
kyebk,2013-02-19,6,1.3,0.9,5.28
kyebk,2023-11-30,6,1.3,0.9,5.28
ilnbk,1998-07-22,31,2.9,5.3,5.26
ilnbk,1998-11-18,31,2.9,5.3,5.26
ilnbk,1999-10-07,31,2.9,5.3,5.26
flsbk,2001-02-05,45,5.5,7.5,5.24
flsbk,2002-06-28,45,5.5,7.5,5.24
flsbk,2003-05-06,45,5.5,7.5,5.24
mowbk,2014-03-31,34,5.4,5.5,5.22
ksbk,2005-10-05,30,5.2,4.8,5.21
nvbk,2012-01-28,5,1.3,0.7,5.2
nvbk,2013-06-21,5,1.3,0.7,5.2
nvbk,2013-07-30,5,1.3,0.7,5.2
ganbk,2025-05-05,7,1.5,1.1,5.19
caebk,1999-02-03,6,1.4,0.9,5.18
ohnbk,2003-02-28,11,2.0,1.7,5.17
ohnbk,2003-04-02,11,2.0,1.7,5.17
ohnbk,2003-06-04,11,2.0,1.7,5.17
ohnbk,2003-12-31,11,2.0,1.7,5.17
txsbk,1997-01-06,40,4.3,6.9,5.15
txsbk,2005-09-02,40,4.3,6.9,5.15
wiebk,2003-03-20,8,1.7,1.2,5.13
almbk,2025-01-20,4,1.2,0.5,5.11
almbk,2025-07-17,4,1.2,0.5,5.11
almbk,2025-08-07,4,1.2,0.5,5.11
flsbk,2000-11-20,44,5.5,7.5,5.11
flsbk,2001-06-04,44,5.5,7.5,5.11
flsbk,2002-01-22,44,5.5,7.5,5.11
flsbk,2002-05-21,44,5.5,7.5,5.11
flsbk,2003-01-31,44,5.5,7.5,5.11
insbk,2017-04-24,5,1.4,0.7,5.11
insbk,2023-09-08,5,1.4,0.7,5.11
insbk,2024-05-30,5,1.4,0.7,5.11
mabk,2005-10-16,19,2.1,3.3,5.11
mabk,2008-09-30,19,2.1,3.3,5.11
mabk,2009-02-10,19,2.1,3.3,5.11
ilnbk,1998-06-17,30,2.9,5.3,5.07
ilnbk,1998-09-02,30,2.9,5.3,5.07
ilnbk,1999-02-03,30,2.9,5.3,5.07
vaebk,2017-06-16,8,1.3,1.3,5.06
mowbk,2005-09-14,33,5.4,5.5,5.04
mowbk,2005-10-06,33,5.4,5.5,5.04
txsbk,2003-11-01,39,4.3,6.9,5.01
txsbk,2005-05-01,39,4.3,6.9,5.01
flsbk,2001-04-16,43,5.5,7.5,4.98
flsbk,2001-06-11,43,5.5,7.5,4.98
flsbk,2001-09-24,43,5.5,7.5,4.98
flsbk,2002-03-04,43,5.5,7.5,4.98
flsbk,2003-04-08,43,5.5,7.5,4.98
arebk,2017-03-02,3,1.1,0.4,4.91
arebk,2017-06-09,3,1.1,0.4,4.91
arebk,2019-06-21,3,1.1,0.4,4.91
arebk,2025-04-14,3,1.1,0.4,4.91
arebk,2025-07-14,3,1.1,0.4,4.91
ilnbk,1998-02-04,29,2.9,5.3,4.89
ilnbk,1998-02-11,29,2.9,5.3,4.89
ilnbk,1998-08-19,29,2.9,5.3,4.89
ilnbk,1998-09-23,29,2.9,5.3,4.89
ilnbk,1999-05-19,29,2.9,5.3,4.89
flmbk,2005-10-13,10,2.0,1.6,4.89
flmbk,2005-10-15,10,2.0,1.6,4.89
flmbk,2025-07-31,10,2.0,1.6,4.89
cacbk,2015-02-27,11,2.4,1.8,4.87
cacbk,2018-05-31,11,2.4,1.8,4.87
txsbk,2006-06-05,38,4.3,6.9,4.86
tnwbk,2003-03-10,6,1.4,1.0,4.86
tnwbk,2003-07-11,6,1.4,1.0,4.86
tnwbk,2003-08-27,6,1.4,1.0,4.86
tnwbk,2003-09-23,6,1.4,1.0,4.86
tnwbk,2003-10-15,6,1.4,1.0,4.86
tnwbk,2004-01-06,6,1.4,1.0,4.86
tnwbk,2019-11-27,6,1.4,1.0,4.86
flsbk,2000-12-04,42,5.5,7.5,4.84
flsbk,2001-02-20,42,5.5,7.5,4.84
flsbk,2001-03-26,42,5.5,7.5,4.84
flsbk,2009-07-30,42,5.5,7.5,4.84
flsbk,2015-03-18,42,5.5,7.5,4.84
flsbk,2018-09-15,42,5.5,7.5,4.84
flsbk,2024-10-18,42,5.5,7.5,4.84
ncmbk,2025-12-10,5,1.3,0.8,4.82
ncmbk,2025-12-19,5,1.3,0.8,4.82
ksbk,2005-10-10,28,5.2,4.8,4.79
ksbk,2019-07-31,28,5.2,4.8,4.79
txsbk,2005-02-28,37,4.3,6.9,4.72
flsbk,2000-12-26,41,5.5,7.5,4.71
flsbk,2002-02-26,41,5.5,7.5,4.71
flsbk,2002-04-30,41,5.5,7.5,4.71
flsbk,2002-05-28,41,5.5,7.5,4.71
flsbk,2002-11-12,41,5.5,7.5,4.71
flsbk,2003-03-14,41,5.5,7.5,4.71
flsbk,2024-11-22,41,5.5,7.5,4.71
ilnbk,1998-08-05,28,2.9,5.3,4.7
ilnbk,1998-12-09,28,2.9,5.3,4.7
ohnbk,1991-09-16,10,2.0,1.7,4.59
ohnbk,2003-06-10,10,2.0,1.7,4.59
ohnbk,2006-06-13,10,2.0,1.7,4.59
ksbk,2005-08-23,27,5.2,4.8,4.58
ksbk,2005-09-29,27,5.2,4.8,4.58
ksbk,2008-07-31,27,5.2,4.8,4.58
flsbk,2001-01-08,40,5.5,7.5,4.58
flsbk,2001-02-12,40,5.5,7.5,4.58
flsbk,2001-06-20,40,5.5,7.5,4.58
flsbk,2001-09-10,40,5.5,7.5,4.58
flsbk,2001-12-17,40,5.5,7.5,4.58
flsbk,2002-12-27,40,5.5,7.5,4.58
flsbk,2003-06-09,40,5.5,7.5,4.58
flsbk,2003-07-14,40,5.5,7.5,4.58
txsbk,2000-07-03,36,4.3,6.9,4.57
txsbk,2004-06-01,36,4.3,6.9,4.57
njbk,1998-02-09,6,1.6,1.0,4.52
njbk,2025-04-03,6,1.6,1.0,4.52
njbk,2025-08-14,6,1.6,1.0,4.52
ncebk,2025-04-14,4,1.2,0.6,4.51
ilnbk,1999-01-06,27,2.9,5.3,4.51
mabk,2005-09-30,17,2.1,3.3,4.5
paebk,2024-02-29,5,1.4,0.8,4.5
paebk,2025-01-30,5,1.4,0.8,4.5
flsbk,2001-07-09,39,5.5,7.5,4.45
flsbk,2002-06-25,39,5.5,7.5,4.45
flsbk,2002-12-06,39,5.5,7.5,4.45
flsbk,2003-02-25,39,5.5,7.5,4.45
flsbk,2003-03-07,39,5.5,7.5,4.45
flsbk,2005-10-11,39,5.5,7.5,4.45
txsbk,2000-12-04,35,4.3,6.9,4.43
txsbk,2004-09-01,35,4.3,6.9,4.43
moebk,2002-12-18,9,1.9,1.6,4.39
moebk,2003-02-18,9,1.9,1.6,4.39
moebk,2003-03-12,9,1.9,1.6,4.39
arwbk,1999-12-27,3,1.1,0.4,4.37
arwbk,2002-12-30,3,1.1,0.4,4.37
arwbk,2003-03-17,3,1.1,0.4,4.37
arwbk,2003-06-12,3,1.1,0.4,4.37
arwbk,2004-02-03,3,1.1,0.4,4.37
arwbk,2024-09-18,3,1.1,0.4,4.37
arwbk,2025-07-29,3,1.1,0.4,4.37
arwbk,2025-07-31,3,1.1,0.4,4.37
ksbk,2006-07-31,26,5.2,4.8,4.37
